Date,Combined Economy Score,InvertandBearFinal
2012-08-14,80.16047018505995,0.0
2012-08-15,81.75576388382353,0.0
2012-08-16,82.31000416629062,0.0
2012-08-17,82.43256976064227,0.0
2012-08-20,82.44809753817967,0.0
2012-08-21,82.49518774888023,0.0
2012-08-22,83.54498172148162,0.0
2012-08-23,83.73616130097061,0.0
2012-08-24,83.70228700920912,0.0
2012-08-27,83.80379861857176,0.0
2012-08-28,83.88151168353993,0.0
2012-08-29,83.81834972857295,0.0
2012-08-30,83.92625294700157,0.0
2012-08-31,84.17914802447356,0.0
2012-09-03,80.95225084778451,0.0
2012-09-04,80.91144098022805,0.0
2012-09-05,80.87478504042043,0.0
2012-09-06,80.62134599621943,0.0
2012-09-07,80.69481859327732,0.0
2012-09-10,80.63165663831035,0.0
2012-09-11,84.35582594548217,0.0
2012-09-12,84.09599529221522,0.0
2012-09-13,84.26295598938276,0.0
2012-09-14,77.0655220287981,0.0
2012-09-17,77.21278865779918,0.0
2012-09-18,77.31249528665191,0.0
2012-09-19,77.55588330924633,0.0
2012-09-20,77.57964476500018,0.0
2012-09-21,77.65190579979799,0.0
2012-09-24,77.8504165672485,0.0
2012-09-25,78.01963967149355,0.0
2012-09-26,78.2711995579034,0.0
2012-09-27,78.18153158777706,0.0
2012-09-28,78.19796185556942,0.0
2012-10-01,78.02757664058511,0.0
2012-10-02,78.07055001217745,0.0
2012-10-03,78.06773127549071,0.0
2012-10-04,77.90392311277543,0.0
2012-10-05,77.64076684473335,0.0
2012-10-08,77.57948404755753,0.0
2012-10-09,77.69110849292782,0.0
2012-10-10,77.80367251719368,0.0
2012-10-11,78.07158849411465,0.0
2012-10-12,78.10224843702287,0.0
2012-10-15,78.11318958600422,0.0
2012-10-16,69.94499754596828,0.0
2012-10-17,69.57542160512219,0.0
2012-10-18,69.75253222693797,0.0
2012-10-19,69.97029199886757,0.0
2012-10-22,69.84862889477087,0.0
2012-10-23,69.96942659725322,0.0
2012-10-24,69.91821954744441,0.0
2012-10-25,69.70053395279605,0.0
2012-10-26,69.99702054587061,0.0
2012-10-29,69.81299907402028,0.0
2012-10-30,69.80570497469937,0.0
2012-10-31,70.00789988045095,0.0
2012-11-01,69.91826899896523,0.0
2012-11-02,69.87102425226209,0.0
2012-11-05,69.9927244449994,0.0
2012-11-06,69.81252310313238,0.0
2012-11-07,70.08195971431857,0.0
2012-11-08,70.07831266465811,0.0
2012-11-09,70.1281845234048,0.0
2012-11-12,70.12912410230037,0.0
2012-11-13,70.17625140164154,0.0
2012-11-14,70.16895730232063,0.0
2012-11-15,64.88147706747537,0.0
2012-11-16,64.9016285622094,0.0
2012-11-19,64.82662296800609,0.0
2012-11-20,64.72966089855886,0.0
2012-11-21,64.9053992406719,0.0
2012-11-22,64.90175219101144,0.0
2012-11-23,64.87661845555482,0.0
2012-11-26,64.94158539103172,0.0
2012-11-27,64.97361761364269,0.0
2012-11-28,65.01937263328112,0.0
2012-11-29,65.00658941514924,0.0
2012-11-30,65.0386216377602,0.0
2012-12-03,64.58130633609973,0.0
2012-12-04,64.62066974667222,0.0
2012-12-05,64.6472128504722,0.0
2012-12-06,64.66187522639525,0.0
2012-12-07,64.5857384286532,0.0
2012-12-10,64.59855873542571,0.0
2012-12-11,64.52539521037295,0.0
2012-12-12,64.42019946270922,0.0
2012-12-13,64.63271737343193,0.0
2012-12-14,67.44962435388497,0.0
2012-12-17,67.24197741796301,0.0
2012-12-18,66.95199369987624,0.0
2012-12-19,67.287584083039,0.0
2012-12-20,67.28028998371809,0.0
2012-12-21,67.48295467891747,0.0
2012-12-24,67.37822872070151,0.0
2012-12-25,67.37093462138061,0.0
2012-12-26,67.43911590571079,0.0
2012-12-27,67.5809305045415,0.0
2012-12-28,67.59649537071951,0.0
2012-12-31,67.02217777079962,0.0
2013-01-01,67.01853072113917,0.0
2013-01-02,66.64574043143979,0.0
2013-01-03,66.42162613908488,0.0
2013-01-04,66.34743649497511,0.0
2013-01-07,66.37582166792562,0.0
2013-01-08,66.48195699448492,0.0
2013-01-09,66.55515760817829,0.0
2013-01-10,72.86592580046558,0.0
2013-01-11,72.90391693133532,0.0
2013-01-14,72.97574526532595,0.0
2013-01-15,73.08188059188525,0.0
2013-01-16,73.12077421300995,0.0
2013-01-17,72.89619013120725,0.0
2013-01-18,73.02337944275554,0.0
2013-01-21,73.01608534343464,0.0
2013-01-22,73.04674528634285,0.0
2013-01-23,73.05042942464391,0.0
2013-01-24,72.99373325602411,0.0
2013-01-25,72.60494539933957,0.0
2013-01-28,72.50159172082638,0.0
2013-01-29,72.44489555220659,0.0
2013-01-30,72.3854548241813,0.0
2013-01-31,72.44677470999774,0.0
2013-02-01,72.35012789399572,0.0
2013-02-04,71.36549866295451,0.0
2013-02-05,71.21823203395341,0.0
2013-02-06,71.35914414252917,0.0
2013-02-07,71.41313284038408,0.0
2013-02-08,71.39211594403572,0.0
2013-02-11,71.43238184486316,0.0
2013-02-12,71.30158257229503,0.0
2013-02-13,71.46124917014166,0.0
2013-02-14,71.70202862501283,0.0
2013-02-15,71.65768297371775,0.0
2013-02-18,71.65038887439684,0.0
2013-02-19,72.67906704760821,0.0
2013-02-20,72.68961258442302,0.0
2013-02-21,72.84836432913448,0.0
2013-02-22,72.86851582386852,0.0
2013-02-25,73.10548751163655,0.0
2013-02-26,73.15308460042553,0.0
2013-02-27,73.04333931284638,0.0
2013-02-28,73.10556168891779,0.0
2013-03-01,73.23824011927707,0.0
2013-03-04,72.91729974915717,0.0
2013-03-05,72.84597829325493,0.0
2013-03-06,72.67585269875494,0.0
2013-03-07,72.44643473079209,0.0
2013-03-08,72.17966232029008,0.0
2013-03-11,72.15778002232737,0.0
2013-03-12,72.26532471723002,0.0
2013-03-13,72.23846017854471,0.0
2013-03-14,72.0509894631172,0.0
2013-03-15,66.68585797770477,0.0
2013-03-18,66.8158660259398,0.0
2013-03-19,66.98516330746607,0.0
2013-03-20,66.93650301097948,0.0
2013-03-21,66.94112672817612,0.0
2013-03-22,67.01479713131727,0.0
2013-03-25,66.996561883015,0.0
2013-03-26,67.0309059642243,0.0
2013-03-27,67.24776324589892,0.0
2013-03-28,67.2281186292533,0.0
2013-03-29,67.21717748027194,0.0
2013-04-01,66.98309870647185,0.0
2013-04-02,66.8816241857498,0.0
2013-04-03,67.06926798150019,0.0
2013-04-04,67.21202215922648,0.0
2013-04-05,67.34029940423281,0.0
2013-04-08,67.25251059189762,0.0
2013-04-09,67.16396764386992,0.0
2013-04-10,66.98109591987864,0.0
2013-04-11,67.15653755286677,0.0
2013-04-12,67.32305318634693,0.0
2013-04-15,67.35782996836339,0.0
2013-04-16,71.93328248068609,0.0
2013-04-17,72.11391652336027,0.0
2013-04-18,72.18986169645915,0.0
2013-04-19,72.10936698344487,0.0
2013-04-22,72.12218729021738,0.0
2013-04-23,72.11854024055692,0.0
2013-04-24,72.11489319089647,0.0
2013-04-25,72.07466437870964,0.0
2013-04-26,72.24941369040629,0.0
2013-04-29,72.05189195337216,0.0
2013-04-30,72.0098210720348,0.0
2013-05-01,72.13242375502705,0.0
2013-05-02,72.16445597763801,0.0
2013-05-03,71.73141519125994,0.0
2013-05-06,71.66922990382916,0.0
2013-05-07,71.6271590224918,0.0
2013-05-08,71.68663683915769,0.0
2013-05-09,71.5210607845731,0.0
2013-05-10,71.1386645369545,0.0
2013-05-13,80.38351508827715,0.0
2013-05-14,80.22252566224859,0.0
2013-05-15,80.26279156307604,0.0
2013-05-16,82.36441938351261,0.0
2013-05-17,82.00946872994895,0.0
2013-05-20,81.92074033871819,0.0
2013-05-21,82.0086033283346,0.0
2013-05-22,82.10730856389074,0.0
2013-05-23,82.09640450355,0.0
2013-05-24,82.13992184187134,0.0
2013-05-27,82.12898069288998,0.0
2013-05-28,81.65009216527193,0.0
2013-05-29,81.70364816231968,0.0
2013-05-30,81.69635406299876,0.0
2013-05-31,81.45075308484768,0.0
2013-06-03,81.0960126002475,0.0
2013-06-04,81.06950658508813,0.0
2013-06-05,81.20767413425841,0.0
2013-06-06,81.3065153614968,0.0
2013-06-07,80.89242687047286,0.0
2013-06-10,80.5896599342542,0.0
2013-06-11,80.67207089370024,0.0
2013-06-12,85.31770747694631,0.0
2013-06-13,85.76118871565747,0.0
2013-06-14,86.02015396731008,0.0
2013-06-17,85.7512242342123,0.0
2013-06-18,81.94003261327798,0.0
2013-06-19,82.25226951573362,0.0
2013-06-20,81.7729482873084,0.0
2013-06-21,81.24057793992382,0.0
2013-06-24,81.02657648357653,0.0
2013-06-25,80.81802705739962,0.0
2013-06-26,81.04315510593135,0.0
2013-06-27,81.33689713960041,0.0
2013-06-28,81.34152085679705,0.0
2013-07-01,80.23306501762329,0.0
2013-07-02,80.29727781740768,0.0
2013-07-03,80.07006044212133,0.0
2013-07-04,80.02264879653542,0.0
2013-07-05,79.03898387015019,0.0
2013-07-08,79.20290329878733,0.0
2013-07-09,79.22775268799923,0.0
2013-07-10,79.0073967112266,0.0
2013-07-11,79.70552855639885,0.0
2013-07-12,79.55653112416906,0.0
2013-07-15,79.72680507323152,0.0
2013-07-16,70.95331405548212,0.0
2013-07-17,73.01167179520147,0.0
2013-07-18,72.73967606781288,0.0
2013-07-19,72.90226030538787,0.0
2013-07-22,72.87543285534316,0.0
2013-07-23,72.63605040593517,0.0
2013-07-24,72.20184132737772,0.0
2013-07-25,71.97091508802988,0.0
2013-07-26,72.08926494023166,0.0
2013-07-29,71.89827080394573,0.0
2013-07-30,71.74209053831689,0.0
2013-07-31,71.74314138313431,0.0
2013-08-01,71.18888873778701,0.0
2013-08-02,71.63885430716564,0.0
2013-08-05,70.03624178332075,0.0
2013-08-06,69.99337967765025,0.0
2013-08-07,70.10049167174574,0.0
2013-08-08,70.11800987299614,0.0
2013-08-09,70.11996320806851,0.0
2013-08-12,69.96276918626286,0.0
2013-08-13,69.50547861036281,0.0
